symbol,company_name,exchange,sector,market_cap
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,NASDAQ,Energy,3383726466
ARM,Arm Holdings plc American Depositary Shares,NASDAQ,Technology,2.15E+11
AROW,Arrow Financial Corporation Common Stock,NASDAQ,Finance,599090265
ARQ,Arq Inc. Common Stock,NASDAQ,Industrials,105046832
ARQQ,Arqit Quantum Inc. Ordinary Shares,NASDAQ,Technology,225699807
ARQQW,Arqit Quantum Inc. Warrants,NASDAQ,Technology,1377364
ARQT,Arcutis Biotherapeutics Inc. Common Stock,NASDAQ,Health Care,2937970619
ARRY,Array Technologies Inc. Common Stock,NASDAQ,Consumer Discretionary,1172319131
ARTC,Art Technology Acquisition Corp. Class A Ordinary Shares,NASDAQ,Finance,0
ARTCU,Art Technology Acquisition Corp. Units,NASDAQ,,0
ARTL,Artelo Biosciences Inc. Common Stock,NASDAQ,Health Care,3095839
ARTNA,Artesian Resources Corporation Class A Common Stock,NASDAQ,Utilities,322862173
ARTV,Artiva Biotherapeutics Inc. Common Stock,NASDAQ,Health Care,279051227
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,NASDAQ,Industrials,13367976
ARVN,Arvinas Inc. Common Stock,NASDAQ,Health Care,695498348
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,10697058994
ARXS,Arxis Inc. Class A Common Stock,NASDAQ,Industrials,14358823738
ASBP,Aspire Biopharma Holdings Inc. Common Stock,NASDAQ,Health Care,1052055
ASBPW,Aspire Biopharma Holdings Inc. Warrant,NASDAQ,Health Care,75865
ASLE,AerSale Corporation Common Stock,NASDAQ,Consumer Discretionary,320846709
ASMB,Assembly Biosciences Inc. Common Stock,NASDAQ,Health Care,442132355
ASML,ASML Holding N.V. New York Registry Shares,NASDAQ,Technology,5.34E+11
ASND,Ascendis Pharma A/S Ordinary Share,NASDAQ,Health Care,14174852984
ASO,Academy Sports and Outdoors Inc. Common Stock,NASDAQ,Consumer Discretionary,3339586097
ASPC,A SPAC III Acquisition Corp. Class A Ordinary Shares,NASDAQ,Finance,0
ASPCU,A SPAC III Acquisition Corp. Unit,NASDAQ,Finance,0
ASPI,ASP Isotopes Inc. Common Stock,NASDAQ,Industrials,649661787
